subtopic	structure	clue
Identificación histológica	Amígdala palatina	Epitelio plano estratificado con criptas profundas y numerosos nódulos linfáticos subyacentes
Identificación histológica	Placa de Peyer	Agregado de nódulos linfáticos en mucosa y submucosa del íleon
Identificación histológica	Apéndice vermiforme	Luz irregular y abundantes nódulos linfáticos alrededor de la mucosa y submucosa
Identificación histológica	Nódulo linfático primario	Acumulación uniforme y oscura de linfocitos pequeños sin centro germinativo
Identificación histológica	Nódulo linfático secundario	Centro germinativo pálido rodeado por un manto más oscuro
Identificación histológica	Ganglio linfático	Órgano encapsulado con corteza, paracorteza, médula y senos linfáticos
Identificación histológica	Corteza superficial del ganglio	Región periférica con nódulos ricos en linfocitos B
Identificación histológica	Paracorteza ganglionar	Región profunda sin nódulos, rica en linfocitos T y VEA
Identificación histológica	Médula ganglionar	Región con cordones celulares separados por senos medulares
Identificación histológica	Seno subcapsular	Espacio linfático inmediatamente profundo a la cápsula ganglionar
Identificación histológica	Vénula de endotelio alto	Vénula poscapilar revestida por células endoteliales cúbicas o cilíndricas
Identificación histológica	Timo	Órgano lobulado con corteza oscura, médula pálida y corpúsculos de Hassall
Identificación histológica	Corteza tímica	Zona muy basófila con timocitos pequeños densamente agrupados
Identificación histológica	Médula tímica	Zona pálida con menos linfocitos y corpúsculos de Hassall
Identificación histológica	Corpúsculo de Hassall	Remolino concéntrico eosinófilo de células epiteliorreticulares tipo VI
Identificación histológica	Macrófago tímico	Célula cortical PAS positiva por sus numerosos lisosomas grandes
Identificación histológica	Bazo	Órgano sin corteza ni médula, con pulpa blanca y pulpa roja
Identificación histológica	Pulpa blanca	Agregado linfático basófilo organizado alrededor de una arteria central
Identificación histológica	VLPA	Manguito cilíndrico de linfocitos T que rodea una arteria central
Identificación histológica	Nódulo esplénico	Expansión de la pulpa blanca con arteria central excéntrica
Identificación histológica	Pulpa roja	Senos esplénicos y cordones de Billroth repletos de eritrocitos
Identificación histológica	Cordón de Billroth	Malla reticular entre senos con eritrocitos, macrófagos y otras células sanguíneas
Identificación histológica	Seno esplénico	Vaso revestido por células endoteliales bastoniformes con espacios intercelulares
Identificación histológica	Capilar envainado	Capilar arterial rodeado por un cúmulo de macrófagos
Identificación histológica	Célula dendrítica folicular	Célula del centro germinativo que retiene complejos inmunitarios y carece de MHC II
