chapter	subtopic	front	back
Capítulo 14	Fundamentos inmunitarios	¿Cuál es la función fisiológica del sistema inmunitario?	Defender el cuerpo frente a patógenos, sustancias extrañas y células alteradas.
Capítulo 14	Fundamentos inmunitarios	¿Cuál es la contraparte morfológica del sistema inmunitario?	El sistema linfático.
Capítulo 14	Fundamentos inmunitarios	¿Qué vigila el sistema linfático?	Las superficies corporales y los compartimentos hídricos internos.
Capítulo 14	Fundamentos inmunitarios	¿Qué indica el término sistema inmunitario?	La función fisiológica de defensa del sistema linfático.
Capítulo 14	Órganos linfáticos	¿Cuáles son los órganos linfáticos primarios de los mamíferos?	El timo y la médula ósea.
Capítulo 14	Órganos linfáticos	¿Qué adquieren los linfocitos en los órganos linfáticos primarios?	Receptores capaces de reconocer antígenos específicos.
Capítulo 14	Órganos linfáticos	¿Dónde se activan los linfocitos maduros frente a antígenos?	En los tejidos y órganos linfáticos secundarios.
Capítulo 14	Órganos linfáticos	Mencione un órgano linfático secundario que filtra sangre.	El bazo.
Capítulo 14	Órganos linfáticos	Mencione un órgano linfático secundario que filtra linfa.	El ganglio linfático.
Capítulo 14	Origen de células inmunitarias	¿De qué célula derivan casi todas las células inmunitarias?	De la célula madre hematopoyética.
Capítulo 14	Origen de células inmunitarias	¿Qué células inmunitarias pertenecen al linaje mieloide?	Monocitos, macrófagos, granulocitos y células dendríticas.
Capítulo 14	Origen de células inmunitarias	¿Qué células inmunitarias pertenecen al linaje linfoide?	Los linfocitos.
Capítulo 14	Linfocitos	¿Cuáles son las células características y efectoras del sistema inmunitario?	Los linfocitos.
Capítulo 14	Antígenos	¿Qué es un antígeno?	Una sustancia capaz de inducir una respuesta inmunitaria específica.
Capítulo 14	Antígenos	¿Qué debe ocurrir con la mayoría de los antígenos antes de iniciar una respuesta inmunitaria?	Deben ser procesados por células inmunitarias.
Capítulo 14	Antígenos	¿Qué diferencia a un inmunógeno de otros antígenos?	Siempre desencadena una respuesta inmunitaria.
Capítulo 14	Antígenos	¿Todos los inmunógenos son antígenos?	Sí.
Capítulo 14	Antígenos	¿Todos los antígenos son inmunógenos?	No.
Capítulo 14	Inmunidad innata	¿Qué tipo de inmunidad constituye la primera línea de defensa?	La inmunidad innata.
Capítulo 14	Inmunidad innata	¿Qué barreras físicas participan en la inmunidad innata?	La piel y las mucosas.
Capítulo 14	Inmunidad innata	¿Qué defensa química innata puede destruir microorganismos?	Un pH bajo.
Capítulo 14	Inmunidad innata	¿Qué sustancia antiviral inespecífica producen las células infectadas por virus?	Interferón.
Capítulo 14	Inmunidad innata	¿Qué receptores reconocen patrones asociados con patógenos?	Los receptores de reconocimiento de patrones.
Capítulo 14	Inmunidad innata	¿Qué receptores de reconocimiento de patrones menciona el texto como ejemplo?	Los receptores de tipo Toll.
