chapter,subtopic,front,back
Capítulo 6,Fundamentos del tejido conjuntivo,¿Qué dos componentes generales forman el tejido conjuntivo?,Células y matriz extracelular.
Capítulo 6,Fundamentos del tejido conjuntivo,¿Qué componente define principalmente al tejido conjuntivo?,La matriz extracelular.
Capítulo 6,Fundamentos del tejido conjuntivo,¿Qué contiene la matriz extracelular del tejido conjuntivo?,Fibras proteínicas y sustancia fundamental.
Capítulo 6,Fundamentos del tejido conjuntivo,¿Qué tipos principales de fibras contiene la matriz extracelular del tejido conjuntivo?,"Colágenas, reticulares y elásticas."
Capítulo 6,Fundamentos del tejido conjuntivo,"¿Qué componente amorfo de la MEC contiene proteoglucanos, glucoproteínas multiadhesivas y GAG?",La sustancia fundamental.
Capítulo 6,Fundamentos del tejido conjuntivo,¿Qué significa MEC?,Matriz extracelular.
Capítulo 6,Fundamentos del tejido conjuntivo,¿Qué moléculas especializadas forman la sustancia fundamental?,"Proteoglucanos, glucoproteínas multiadhesivas y glucosaminoglucanos."
Capítulo 6,Fundamentos del tejido conjuntivo,¿Qué tejido forma un compartimento continuo por todo el cuerpo?,El tejido conjuntivo.
Capítulo 6,Fundamentos del tejido conjuntivo,¿Qué estructuras delimitan el compartimento de tejido conjuntivo frente a epitelios?,Láminas basales.
Capítulo 6,Fundamentos del tejido conjuntivo,¿Qué estructuras delimitan el tejido conjuntivo frente a células musculares?,Láminas externas.
Capítulo 6,Fundamentos del tejido conjuntivo,¿Qué estructuras delimitan el tejido conjuntivo frente a células de sostén nerviosas?,Láminas externas.
Capítulo 6,Fundamentos del tejido conjuntivo,¿De qué dependen las funciones de cada tipo de tejido conjuntivo?,"De sus células, fibras y sustancia fundamental."
Capítulo 6,Fundamentos del tejido conjuntivo,¿Qué célula produce fibras extracelulares en el tejido conjuntivo laxo?,El fibroblasto.
Capítulo 6,Fundamentos del tejido conjuntivo,¿Qué célula mantiene la sustancia fundamental del tejido conjuntivo laxo?,El fibroblasto.
Capítulo 6,Fundamentos del tejido conjuntivo,¿Qué tipos celulares del tejido conjuntivo participan en defensa inmunitaria?,"Linfocitos, células plasmáticas, macrófagos y eosinófilos."
Capítulo 6,Fundamentos del tejido conjuntivo,¿Qué característica del hueso lo distingue como tejido conjuntivo especializado?,Matriz extracelular calcificada.
Capítulo 6,Fundamentos del tejido conjuntivo,¿Qué característica de tendones y ligamentos permite máxima resistencia?,Fibras paralelas densamente agrupadas.
Capítulo 6,Clasificación del tejido conjuntivo,¿En qué se basa principalmente la clasificación del tejido conjuntivo?,En la composición y organización de sus elementos extracelulares y sus funciones.
Capítulo 6,Clasificación del tejido conjuntivo,¿Cuáles son las tres categorías generales de tejido conjuntivo?,"Embrionario, del adulto y especializado."
Capítulo 6,Clasificación del tejido conjuntivo,¿Cuáles son los dos tipos de tejido conjuntivo embrionario?,Mesénquima y tejido conjuntivo mucoso.
Capítulo 6,Clasificación del tejido conjuntivo,¿Cuáles son los dos tipos principales de tejido conjuntivo del adulto?,Laxo y denso.
Capítulo 6,Clasificación del tejido conjuntivo,¿Qué dos subtipos tiene el tejido conjuntivo denso?,Regular e irregular.
Capítulo 6,Clasificación del tejido conjuntivo,¿Qué tejidos conjuntivos especializados se mencionan en la clasificación general?,"Cartilaginoso, óseo, adiposo, sanguíneo, hematopoyético y linfático."
Capítulo 6,Clasificación del tejido conjuntivo,¿Por qué el tejido reticular ya no suele clasificarse como categoría separada?,Porque se considera según su estroma de fibras y células reticulares dentro de órganos.
Capítulo 6,Clasificación del tejido conjuntivo,¿Qué tejido conjuntivo forma estroma en médula ósea roja y órganos linfáticos?,Tejido reticular.
Capítulo 6,Clasificación del tejido conjuntivo,¿Qué órganos linfáticos tienen estroma reticular?,Ganglios linfáticos y bazo.
