chapter	subtopic	front	back
Capítulo 14	Inmunoglobulinas	¿Cuál es la masa molecular aproximada de la IgG?	145 kDa.
Capítulo 14	Inmunoglobulinas	¿Cuál es la concentración sérica aproximada de IgG?	12 mg/mL.
Capítulo 14	Inmunoglobulinas	¿Qué porcentaje de las inmunoglobulinas séricas corresponde a IgG?	Alrededor del 85%.
Capítulo 14	Inmunoglobulinas	¿Qué inmunoglobulina predomina en la respuesta secundaria?	La IgG.
Capítulo 14	Inmunoglobulinas	¿Cuál es la semivida sérica aproximada de la IgG?	23 días.
Capítulo 14	Inmunoglobulinas	¿Qué inmunoglobulina atraviesa la placenta?	La IgG.
Capítulo 14	Inmunoglobulinas	¿Qué inmunoglobulina sérica activa el complemento y favorece la quimiotaxis?	La IgG.
Capítulo 14	Inmunoglobulinas	¿Cuál es la forma secretada habitual de la IgM?	Un pentámero.
Capítulo 14	Inmunoglobulinas	¿Cuál es la masa molecular aproximada del monómero de IgM?	190 kDa.
Capítulo 14	Inmunoglobulinas	¿Cuál es la masa molecular aproximada del pentámero de IgM?	950 kDa.
Capítulo 14	Inmunoglobulinas	¿Cuál es la concentración sérica aproximada de IgM?	1.5 mg/mL.
Capítulo 14	Inmunoglobulinas	¿Qué porcentaje de las inmunoglobulinas séricas corresponde a IgM?	5-10%.
Capítulo 14	Inmunoglobulinas	¿Qué inmunoglobulina predomina en la respuesta primaria?	La IgM.
Capítulo 14	Inmunoglobulinas	¿Qué inmunoglobulina activa el complemento con mayor eficacia?	La IgM.
Capítulo 14	Inmunoglobulinas	¿Qué inmunoglobulina funciona como BCR en el linfocito B virgen junto con IgD?	La IgM.
Capítulo 14	Inmunoglobulinas	¿Cuál es la forma secretora típica de la IgA?	Un dímero.
Capítulo 14	Inmunoglobulinas	¿Cuál es la masa molecular aproximada del monómero de IgA?	160 kDa.
Capítulo 14	Inmunoglobulinas	¿Cuál es la masa molecular aproximada del dímero de IgA?	385 kDa.
Capítulo 14	Inmunoglobulinas	¿Cuál es la concentración sérica aproximada de IgA?	2 mg/mL.
Capítulo 14	Inmunoglobulinas	¿Qué porcentaje de las inmunoglobulinas séricas corresponde a IgA?	5-15%.
Capítulo 14	Inmunoglobulinas	¿Qué inmunoglobulina protege principalmente las superficies mucosas?	La IgA.
Capítulo 14	Inmunoglobulinas	¿En qué secreción posparto es abundante la IgA?	En el calostro.
Capítulo 14	Inmunoglobulinas	Mencione tres secreciones que contienen IgA.	Lágrimas, saliva y secreciones intestinales.
Capítulo 14	Inmunoglobulinas	¿Cuál es la masa molecular aproximada de la IgD?	185 kDa.
Capítulo 14	Inmunoglobulinas	¿Cuál es la concentración sérica aproximada de IgD?	0.03 mg/mL.
