chapter,subtopic,front,back
Capítulo 11,Fundamentos del tejido muscular,¿Qué función general tiene el tejido muscular?,Producir movimiento mediante contracción.
Capítulo 11,Fundamentos del tejido muscular,¿Qué cambios corporales produce el tejido muscular?,Movimiento del cuerpo y cambios de tamaño o forma de órganos internos.
Capítulo 11,Fundamentos del tejido muscular,¿Qué característica celular general tiene el tejido muscular?,Células alargadas especializadas en contracción.
Capítulo 11,Fundamentos del tejido muscular,¿Cómo suelen organizarse las células musculares?,En haces paralelos.
Capítulo 11,Fundamentos del tejido muscular,¿Qué estructura intracelular causa la contracción muscular?,La interacción de miofilamentos.
Capítulo 11,Fundamentos del tejido muscular,¿Qué dos tipos principales de miofilamentos participan en contracción?,Filamentos delgados y filamentos gruesos.
Capítulo 11,Filamentos delgados,¿Qué proteína forma principalmente los filamentos delgados?,Actina.
Capítulo 11,Filamentos delgados,¿Qué diámetro aproximado tienen los filamentos delgados?,6-8 nm.
Capítulo 11,Filamentos delgados,¿Qué longitud aproximada tienen los filamentos delgados?,1 µm.
Capítulo 11,Filamentos delgados,¿Qué es la actina F?,Actina filamentosa.
Capítulo 11,Filamentos delgados,¿Qué es la actina G?,Actina globular.
Capítulo 11,Filamentos delgados,¿De qué está formada principalmente la actina F?,De moléculas de actina G.
Capítulo 11,Filamentos gruesos,¿Qué proteína forma principalmente los filamentos gruesos?,Miosina II.
Capítulo 11,Filamentos gruesos,¿Qué diámetro aproximado tienen los filamentos gruesos?,15 nm.
Capítulo 11,Filamentos gruesos,¿Qué longitud aproximada tienen los filamentos gruesos?,1.5 µm.
Capítulo 11,Filamentos gruesos,¿Cuántas moléculas de miosina II forman un filamento grueso?,200-300 moléculas.
Capítulo 11,Filamentos gruesos,¿Qué parte de la miosina II se aglomera para formar el centro del filamento grueso?,Las colas.
Capítulo 11,Filamentos gruesos,¿Qué parte de la miosina II se proyecta hacia afuera del filamento grueso?,Las cabezas.
Capítulo 11,Filamentos gruesos,¿Qué patrón siguen las cabezas de miosina en el filamento grueso?,Un patrón helicoidal regular.
Capítulo 11,Sarcoplasma,¿Cómo se llama el citoplasma de una célula muscular?,Sarcoplasma.
Capítulo 11,Sarcoplasma,¿Qué ocupa casi todo el sarcoplasma de una célula muscular?,Miofilamentos.
Capítulo 11,Miocitos,¿Qué otro nombre reciben las células musculares?,Miocitos.
Capítulo 11,Miocitos,¿Qué característica tienen los miocitos respecto a filamentos contráctiles?,Contienen muchos filamentos contráctiles alineados.
Capítulo 11,Actina y miosina,¿La actina y la miosina existen solo en células musculares?,"No, también existen en muchos otros tipos celulares."
Capítulo 11,Actina y miosina,¿Qué funciones no musculares pueden cumplir actina y miosina?,"Citocinesis, exocitosis y migración celular."
Capítulo 11,Clasificación del músculo,¿En qué se basa la clasificación principal del músculo?,En el aspecto de las células contráctiles.
Capítulo 11,Clasificación del músculo,¿Cuáles son los dos tipos principales de músculo?,Estriado y liso.
Capítulo 11,Músculo estriado,¿Qué caracteriza al músculo estriado al microscopio?,Estriaciones transversales.
Capítulo 11,Músculo estriado,¿Qué causa las estriaciones transversales del músculo estriado?,La disposición ordenada de filamentos delgados y gruesos.
Capítulo 11,Músculo estriado,¿Qué tipos de músculo pertenecen al músculo estriado?,"Esquelético, estriado visceral y cardíaco."
Capítulo 11,Músculo estriado,¿Qué tienen en común los tipos de músculo estriado?,Organización ordenada de miofilamentos en estriaciones transversales.
Capítulo 11,Músculo liso,¿Qué caracteriza al músculo liso al microscopio?,No tiene estriaciones transversales.
Capítulo 11,Músculo liso,¿Por qué el músculo liso no presenta estriaciones transversales?,Porque sus miofilamentos no tienen el mismo grado de orden.
Capítulo 11,Músculo liso,¿Qué característica tienen los miofilamentos con miosina en músculo liso?,Son muy lábiles.
Capítulo 11,Músculo liso,¿Dónde se encuentra el músculo liso?,"Vísceras, sistema vascular, músculos erectores del pelo y músculos intrínsecos del ojo."
Capítulo 11,Músculo esquelético,¿Qué tipo de músculo se fija al hueso?,Músculo esquelético.
Capítulo 11,Músculo esquelético,¿Qué músculo mueve los esqueletos axial y apendicular?,Músculo esquelético.
Capítulo 11,Músculo esquelético,¿Qué tipo de músculo mantiene posición y postura corporal?,Músculo esquelético.
Capítulo 11,Músculo esquelético,¿Qué músculos esqueléticos producen movimientos oculares precisos?,Músculos oculares extrínsecos.
Capítulo 11,Músculo estriado visceral,¿Qué es el músculo estriado visceral?,"Músculo estriado morfológicamente idéntico al esquelético, ubicado en tejidos blandos."
