chapter,subtopic,front,back
Capítulo 9,Fundamentos del tejido adiposo,¿Qué tipo de tejido es el tejido adiposo?,Un tejido conjuntivo especializado.
Capítulo 9,Fundamentos del tejido adiposo,¿Qué función metabólica general tiene el tejido adiposo?,Participa en la homeostasis energética.
Capítulo 9,Fundamentos del tejido adiposo,¿Qué célula caracteriza al tejido adiposo?,Adipocito.
Capítulo 9,Fundamentos del tejido adiposo,¿Dónde pueden encontrarse adipocitos aislados o en grupos?,En tejido conjuntivo laxo.
Capítulo 9,Fundamentos del tejido adiposo,¿Cuándo se llama tejido adiposo a un tejido?,Cuando los adipocitos son el tipo celular primario.
Capítulo 9,Fundamentos del tejido adiposo,¿Qué molécula almacena energía dentro del adipocito?,Triglicéridos.
Capítulo 9,Fundamentos del tejido adiposo,¿Dónde almacenan los adipocitos los triglicéridos?,En gotitas lipídicas.
Capítulo 9,Fundamentos del tejido adiposo,¿Por qué el cuerpo almacena energía principalmente como triglicéridos?,Porque tienen alta densidad energética y poca agua.
Capítulo 9,Fundamentos del tejido adiposo,¿Qué reserva energética tiene mayor densidad: triglicéridos o carbohidratos?,Triglicéridos.
Capítulo 9,Fundamentos del tejido adiposo,¿Cuánta energía aportan aproximadamente los triglicéridos?,9 kcal/g.
Capítulo 9,Fundamentos del tejido adiposo,¿Cuánta energía aportan aproximadamente carbohidratos y proteínas?,4 kcal/g.
Capítulo 9,Fundamentos del tejido adiposo,¿Por qué los triglicéridos son eficientes como reserva energética?,Porque carecen de agua y concentran mucha energía.
Capítulo 9,Fundamentos del tejido adiposo,¿Qué ocurre con los triglicéridos cuando la ingesta supera el gasto energético?,Se almacenan en adipocitos.
Capítulo 9,Fundamentos del tejido adiposo,¿Qué ocurre con los triglicéridos cuando el gasto supera la ingesta energética?,Se movilizan para usarse como energía.
Capítulo 9,Fundamentos del tejido adiposo,¿Qué obtiene el organismo de la oxidación de ácidos grasos además de energía?,Agua metabólica.
Capítulo 9,Fundamentos del tejido adiposo,¿Qué animales almacenan grasa en jorobas como fuente de agua y energía?,Camellos.
Capítulo 9,Fundamentos del tejido adiposo,¿Por qué el tejido adiposo se considera órgano endocrino?,Porque secreta sustancias paracrinas y endocrinas.
Capítulo 9,Fundamentos del tejido adiposo,¿Qué secreta el tejido adiposo para regular el metabolismo energético?,Adipocinas.
